S.No,Lead first name,Lead last name,Lead ID,Lead Source,Campaign name,Campaign ID,Lead Created Date,UCIC,Mobile Number,Alternate Mobile,Email ID,Date of Birth,PAN,PAN Attachment,City,District,State,Pincode,Country,Portfolio,Product,Offer Amount,Offer Valid Till,Assigned To,Branch,Region,Zone,Lead Status,Reason Code,Reason,Next Follow-up Date,LAN No.,Status Updated On,Duplicate Flag,Last Modified By,Last Modified On,Occupation,Employment Type,First Response (hrs),SLA Breached
1,Aparna,Kurup,AFL-RET-000001,Landing page,Shubh Vivah DEC25,CMP-2025-0011,2025-12-25 17:51:00,585050479,8626403683,,aparna.kurup@outlook.com,1992-06-21,AVLPQ7248K,PAN_Aparna_Kurup.pdf,Kochi,Ernakulam,Kerala,682036,India,Retail Personal Loans,Marriage Loan,200000,2026-02-23,Anjana Menon,Kochi — Kaloor,Kerala & AP Region,South Zone,Rejected,REJ-11,Business vintage below minimum,,,2025-12-30 09:06:00,No,Anjana Menon,2025-12-30 09:06:00,Business Owner,Self-Employed,,No
2,Ashwini,Modi,AFL-RET-000002,Website,Shubh Vivah JAN26,CMP-2026-0012,2026-01-01 12:37:00,,9626520371,,ashwini.modi@hotmail.com,1998-10-17,WNAPW4720N,PAN_Ashwini_Modi.pdf,Pune,Pune,Maharashtra,411061,India,Retail Personal Loans,Medical Emergency Loan,625000,2026-01-31,Sneha Parikh,Pune — Wakad,Maharashtra Region,West Zone,Sanctioned,,,,AFLRET26000001,2026-01-12 10:09:00,No,Sneha Parikh,2026-01-12 10:09:00,Salaried — Government / PSU,Salaried,0.2,No
3,Rashmi,Rai,AFL-RET-000003,Website,Shiksha Education JUL26,CMP-2026-0031,2026-07-08 12:05:00,,9171224756,,rashmi.rai13@gmail.com,1982-01-12,,,Bengaluru,Bengaluru Urban,Karnataka,560069,India,Retail Personal Loans,Education Loan,525000,2026-09-06,Vinay Jain,Bengaluru — Jayanagar,Karnataka Region,South Zone,Rejected,REJ-13,Others,,,2026-07-14 10:20:00,No,Vinay Jain,2026-07-14 10:20:00,Salaried — Government / PSU,Salaried,,No
4,Reshma,Namboothiri,AFL-RET-000004,Website,Shubh Vivah DEC25,CMP-2025-0011,2025-12-24 09:00:00,,7177861991,,reshma.namboothiri@rediffmail.com,2000-07-24,KFYPW7298D,PAN_Reshma_Namboothiri.pdf,Kochi,Ernakulam,Kerala,682024,India,Retail Personal Loans,Marriage Loan,425000,2026-02-07,Anjana Menon,Kochi — Kaloor,Kerala & AP Region,South Zone,Disbursed,,,,AFLRET25000002,2026-01-13 09:26:00,No,Anjana Menon,2026-01-13 09:26:00,Salaried — Private Sector,Salaried,0.2,No
5,Deepika,Balaji,AFL-RET-000005,PQ Campaign,Shiksha Education JUL26,CMP-2026-0031,2026-07-23 12:23:00,930429950,7717460594,8648537536,deepika.balaji@hotmail.com,1992-12-13,UADPT8538Z,PAN_Deepika_Balaji.pdf,Chennai,Chennai,Tamil Nadu,600017,India,Retail Personal Loans,Education Loan,1400000,2026-09-21,Saravanan Rajan,Chennai — T Nagar,Tamil Nadu Region,South Zone,Sanctioned,,,,AFLRET26000003,2026-08-07 09:17:00,No,Saravanan Rajan,2026-08-07 09:17:00,Self-Employed Non-Professional,Self-Employed,0.3,No
6,Revathi,Natarajan,AFL-RET-000006,Website,Professional Edge SEP26,CMP-2026-0039,2026-09-05 18:18:00,,7622696630,9706220842,revathi.natarajan@yahoo.com,2001-02-03,,,Chennai,Chennai,Tamil Nadu,600035,India,Professional Loans,Doctor Professional Loan,950000,2026-11-04,Hariharan Krishnan,Chennai — T Nagar,Tamil Nadu Region,South Zone,Not reachable,NR-01,Number switched off / unreachable,,,2026-09-08 09:01:00,No,Hariharan Krishnan,2026-09-08 09:01:00,Self-Employed Professional,Self-Employed,3.8,Yes
7,Aarav,Dua,AFL-RET-000007,Social media,Diwali Dhamaka NOV25,CMP-2025-0006,2025-11-14 20:58:00,,6469380334,,aarav.dua@rediffmail.com,1975-01-25,,,Lucknow,Lucknow,Uttar Pradesh,226016,India,Vehicle & Consumer Loans,Consumer Durable Loan,70000,2025-12-14,Tarun Tiwari,Lucknow — Hazratganj,North India Region,North Zone,Not interested,NI-02,Already availed loan elsewhere,,,2025-11-17 09:51:00,No,Tarun Tiwari,2025-11-17 09:51:00,Salaried — Private Sector,Salaried,3,Yes
8,Nagaraj,Jain,AFL-RET-000008,Landing page,Property Power MAY26,CMP-2026-0027,2026-05-03 12:51:00,347371301,6575319425,6977355538,nagaraj.jain@rediffmail.com,1992-06-23,,,Bengaluru,Bengaluru Urban,Karnataka,560047,India,Retail Personal Loans,Marriage Loan,725000,2026-06-02,Vinay Nair,Bengaluru — Koramangala,Karnataka Region,South Zone,Rejected,REJ-07,Existing obligations too high (FOIR),,,2026-05-11 09:06:00,No,Vinay Nair,2026-05-11 09:06:00,Self-Employed Non-Professional,Self-Employed,,No
9,Shreya,Desai,AFL-RET-000009,Social media,Property Power JUN26,CMP-2026-0029,2026-06-23 16:00:00,,9912960519,,shreya.desai25@rediffmail.com,1987-08-24,DSDPE1315J,PAN_Shreya_Desai.pdf,Thane,Thane,Maharashtra,400610,India,Professional Loans,Doctor Professional Loan,1400000,2026-08-07,Kalyani Joshi,Thane — Ghodbunder,Maharashtra Region,West Zone,Not reachable,NR-01,Number switched off / unreachable,,,2026-06-25 11:59:00,No,Kalyani Joshi,2026-06-25 11:59:00,Self-Employed Professional,Self-Employed,0.2,No
10,Ravi,Kumar,AFL-RET-000010,PQ Campaign,Shiksha Education MAY26,CMP-2026-0026,2026-05-31 14:05:00,889226254,8439849256,9643727777,ravi.kumar@hotmail.com,2002-02-01,,,Visakhapatnam,Visakhapatnam,Andhra Pradesh,530003,India,Business & MSME Loans,Vyapar Business Loan,550000,2026-06-30,Chandra Naidu,Vizag — Dwaraka Nagar,Kerala & AP Region,South Zone,Rejected,REJ-03,Policy restriction,,,2026-06-11 11:20:00,No,Chandra Naidu,2026-06-11 11:20:00,Self-Employed Non-Professional,Self-Employed,,No
